model,fold,class_id,class_name,images,instances,precision,recall,fdr,f1,map50,map50_95
yolo26s,3,3,MS,239,419,0.828,0.848,0.172,0.837881,0.901,0.741
yolo26s,3,4,A1_SU-35,56,243,0.976,0.975,0.024,0.9755,0.981,0.915
yolo26s,3,5,A2_C-130,58,263,0.988,0.979,0.012,0.983479,0.985,0.941
yolo26s,3,6,A3_C-17,51,212,0.997,0.991,0.003,0.993991,0.995,0.919
yolo26s,3,7,A4_C-5,24,92,0.96,0.913,0.04,0.93591,0.957,0.887
yolo26s,3,8,A5_F-16,48,244,0.994,0.992,0.006,0.992999,0.995,0.894
yolo26s,3,9,A6_TU-160,17,73,0.991,1.0,0.009,0.99548,0.995,0.925
yolo26s,3,10,A7_E-3,31,141,0.993,0.993,0.007,0.993,0.989,0.944
yolo26s,3,11,A8_B-52,34,174,0.992,0.977,0.008,0.984443,0.994,0.953
yolo26s,3,12,A9_P-3C,37,198,0.991,0.985,0.009,0.987991,0.993,0.937
yolo26s,3,13,A10_B-1B,33,160,0.989,0.975,0.011,0.98195,0.982,0.923
yolo26s,3,14,A11_E-8,29,91,0.916,0.989,0.084,0.951101,0.972,0.916
yolo26s,3,15,A12_TU-22,40,114,0.952,0.991,0.048,0.971109,0.995,0.895
yolo26s,3,16,A13_F-15,42,250,0.909,0.976,0.091,0.941309,0.977,0.871
yolo26s,3,17,A14_KC-135,73,281,0.978,0.966,0.022,0.971963,0.989,0.933
yolo26s,3,18,A15_F-22,23,113,0.957,0.982,0.043,0.969339,0.987,0.901
yolo26s,3,19,A16_FA-18,48,415,0.98,0.968,0.02,0.973963,0.991,0.943
yolo26s,3,20,A17_TU-95,61,240,0.988,0.975,0.012,0.981457,0.982,0.908
yolo26s,3,21,A18_KC-10,16,51,0.892,1.0,0.108,0.942918,0.983,0.921
yolo26s,3,22,A19_SU-34,55,148,0.941,0.953,0.059,0.946962,0.945,0.864
yolo26s,3,23,A20_SU-24,40,142,0.992,0.908,0.008,0.948143,0.98,0.893
yolo26s,3,24,FSC,13,105,0.902,0.543,0.098,0.677904,0.645,0.432
yolo26s,4,0,HM,33,34,0.985,0.912,0.015,0.947095,0.972,0.877
yolo26s,4,1,LQS,5,5,0.956,1.0,0.044,0.977505,0.995,0.955
yolo26s,4,2,QHS,44,126,0.87,0.762,0.13,0.812426,0.856,0.725
yolo26s,4,3,MS,238,447,0.859,0.858,0.141,0.8585,0.918,0.744
yolo26s,4,4,A1_SU-35,58,266,0.965,0.977,0.035,0.970963,0.981,0.902
yolo26s,4,5,A2_C-130,57,197,0.98,1.0,0.02,0.989899,0.995,0.935
yolo26s,4,6,A3_C-17,52,133,0.988,1.0,0.012,0.993964,0.995,0.944
yolo26s,4,7,A4_C-5,23,93,0.993,0.957,0.007,0.974668,0.974,0.918
yolo26s,4,8,A5_F-16,48,210,0.999,0.99,0.001,0.99448,0.995,0.909
yolo26s,4,9,A6_TU-160,17,63,0.999,1.0,0.001,0.9995,0.995,0.943
yolo26s,4,10,A7_E-3,32,122,0.988,0.984,0.012,0.985996,0.995,0.955
yolo26s,4,11,A8_B-52,33,179,0.994,0.991,0.006,0.992498,0.995,0.952
yolo26s,4,12,A9_P-3C,38,215,0.995,0.975,0.005,0.984898,0.995,0.931
yolo26s,4,13,A10_B-1B,32,164,0.995,0.994,0.005,0.9945,0.995,0.955
yolo26s,4,14,A11_E-8,29,47,0.957,0.946,0.043,0.951468,0.987,0.941
yolo26s,4,15,A12_TU-22,37,109,0.981,0.963,0.019,0.971917,0.994,0.917
yolo26s,4,16,A13_F-15,42,264,0.991,0.981,0.009,0.985975,0.995,0.891
yolo26s,4,17,A14_KC-135,71,257,0.996,0.992,0.004,0.993996,0.995,0.96
yolo26s,4,18,A15_F-22,23,104,0.986,0.99,0.014,0.987996,0.995,0.904
yolo26s,4,19,A16_FA-18,48,458,0.998,0.984,0.002,0.990951,0.995,0.943
yolo26s,4,20,A17_TU-95,60,234,0.996,1.0,0.004,0.997996,0.995,0.939
yolo26s,4,21,A18_KC-10,16,57,0.996,1.0,0.004,0.997996,0.995,0.924
yolo26s,4,22,A19_SU-34,55,201,0.965,0.952,0.035,0.958456,0.972,0.885
yolo26s,4,23,A20_SU-24,41,165,0.988,0.976,0.012,0.981963,0.985,0.868
yolo26s,4,24,FSC,13,93,0.982,0.596,0.018,0.74179,0.708,0.446
