epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
105,3810.78,0.69814,0.349,0.00374,0.93443,0.91511,0.94003,0.85438,0.47254,0.33134,0.00306,0.00333745,0.00111248,0.00333745,0.00111248,0.00333745,0.00111248,0.00333745,0.00111248
106,3847.34,0.6937,0.3443,0.00371,0.94162,0.90986,0.93981,0.8542,0.47202,0.32988,0.00306,0.00321069,0.00107023,0.00321069,0.00107023,0.00321069,0.00107023,0.00321069,0.00107023
107,3882.8,0.69171,0.34095,0.00374,0.93945,0.91116,0.94012,0.85434,0.47221,0.32925,0.00306,0.00308585,0.00102862,0.00308585,0.00102862,0.00308585,0.00102862,0.00308585,0.00102862
108,3917.55,0.68523,0.34815,0.00368,0.93861,0.91247,0.93985,0.85355,0.47246,0.32966,0.00306,0.00296298,0.000987659,0.00296298,0.000987659,0.00296298,0.000987659,0.00296298,0.000987659
109,3953.66,0.68202,0.34062,0.0037,0.94022,0.91219,0.93973,0.85312,0.47242,0.32987,0.00306,0.00284213,0.000947376,0.00284213,0.000947376,0.00284213,0.000947376,0.00284213,0.000947376
110,3990.33,0.68267,0.33723,0.0037,0.9398,0.91263,0.93925,0.85195,0.47305,0.33073,0.00306,0.00272335,0.000907784,0.00272335,0.000907784,0.00272335,0.000907784,0.00272335,0.000907784
111,4027.5,0.6867,0.33649,0.00367,0.93744,0.91279,0.93885,0.85109,0.47216,0.3319,0.00306,0.00260671,0.000868902,0.00260671,0.000868902,0.00260671,0.000868902,0.00260671,0.000868902
112,4064.47,0.68054,0.33776,0.00367,0.93695,0.91274,0.93885,0.85317,0.47146,0.33214,0.00305,0.00249224,0.000830746,0.00249224,0.000830746,0.00249224,0.000830746,0.00249224,0.000830746
113,4101.63,0.68042,0.33972,0.00371,0.93972,0.91143,0.93679,0.84998,0.47211,0.33244,0.00306,0.00238,0.000793333,0.00238,0.000793333,0.00238,0.000793333,0.00238,0.000793333
114,4138.41,0.67331,0.3348,0.00361,0.93637,0.9124,0.93716,0.85031,0.47134,0.33294,0.00306,0.00227004,0.00075668,0.00227004,0.00075668,0.00227004,0.00075668,0.00227004,0.00075668
115,4175.49,0.67364,0.33216,0.00361,0.93785,0.91184,0.93686,0.85037,0.47068,0.33281,0.00305,0.00216241,0.000720803,0.00216241,0.000720803,0.00216241,0.000720803,0.00216241,0.000720803
116,4212.34,0.67779,0.33723,0.00362,0.93917,0.91123,0.93667,0.84962,0.47133,0.33306,0.00306,0.00205715,0.000685717,0.00205715,0.000685717,0.00205715,0.000685717,0.00205715,0.000685717
117,4249.31,0.67578,0.33783,0.0036,0.94381,0.90893,0.93612,0.8492,0.47205,0.33222,0.00306,0.00195431,0.000651437,0.00195431,0.000651437,0.00195431,0.000651437,0.00195431,0.000651437
118,4286.28,0.66667,0.32928,0.00359,0.9419,0.90921,0.93937,0.85181,0.47215,0.33334,0.00306,0.00185394,0.00061798,0.00185394,0.00061798,0.00185394,0.00061798,0.00185394,0.00061798
119,4322.64,0.66735,0.32905,0.00361,0.9422,0.91033,0.93935,0.85179,0.47219,0.33288,0.00306,0.00175608,0.000585359,0.00175608,0.000585359,0.00175608,0.000585359,0.00175608,0.000585359
120,4359.5,0.66671,0.3252,0.00355,0.94328,0.90855,0.93957,0.853,0.4724,0.33307,0.00306,0.00166077,0.000553588,0.00166077,0.000553588,0.00166077,0.000553588,0.00166077,0.000553588
121,4396.01,0.65951,0.32739,0.0036,0.94027,0.91165,0.93731,0.85065,0.47247,0.33341,0.00306,0.00156805,0.000522683,0.00156805,0.000522683,0.00156805,0.000522683,0.00156805,0.000522683
122,4432.69,0.67236,0.33349,0.00354,0.93951,0.90829,0.93467,0.84807,0.47327,0.3336,0.00306,0.00147797,0.000492656,0.00147797,0.000492656,0.00147797,0.000492656,0.00147797,0.000492656
123,4469.78,0.66107,0.32985,0.00358,0.93843,0.91004,0.93426,0.84769,0.47243,0.33436,0.00306,0.00139056,0.00046352,0.00139056,0.00046352,0.00139056,0.00046352,0.00139056,0.00046352
124,4506.62,0.66189,0.32466,0.00361,0.93725,0.9083,0.93325,0.84731,0.47254,0.33597,0.00306,0.00130587,0.000435288,0.00130587,0.000435288,0.00130587,0.000435288,0.00130587,0.000435288
125,4543.72,0.65948,0.32332,0.00353,0.94379,0.90563,0.93608,0.84956,0.47263,0.33577,0.00306,0.00122392,0.000407973,0.00122392,0.000407973,0.00122392,0.000407973,0.00122392,0.000407973
126,4580.43,0.66236,0.32356,0.00357,0.94284,0.9052,0.93674,0.84967,0.4729,0.33589,0.00306,0.00114476,0.000381587,0.00114476,0.000381587,0.00114476,0.000381587,0.00114476,0.000381587
127,4616.79,0.66499,0.32485,0.00352,0.94819,0.90055,0.93682,0.8497,0.47181,0.3364,0.00306,0.00106842,0.000356141,0.00106842,0.000356141,0.00106842,0.000356141,0.00106842,0.000356141
